,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__colsample_bylevel,param_regressor__colsample_bytree,param_regressor__gamma,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__reg_alpha,param_regressor__reg_lambda,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
4,18.082199970881145,1.0763577989204913,0.05987143516540527,0.004629449013612654,0.9425192044349383,0.7913841307520112,0.048836057003191935,0.07842330265121569,10,4,1578,0.6099966577826209,3.8327796469446573,0.7520093960523315,"{'regressor__colsample_bylevel': 0.9425192044349383, 'regressor__colsample_bytree': 0.7913841307520112, 'regressor__gamma': 0.048836057003191935, 'regressor__learning_rate': 0.07842330265121569, 'regressor__max_depth': 10, 'regressor__min_child_weight': 4, 'regressor__n_estimators': 1578, 'regressor__reg_alpha': 0.6099966577826209, 'regressor__reg_lambda': 3.8327796469446573, 'regressor__subsample': 0.7520093960523315}",-0.2000081092119217,-0.19503946602344513,-0.19573669135570526,-0.1969280888636907,0.0021964250954864604,66,-0.015606813132762909,-0.01675492338836193,-0.01542923878878355,-0.015930325103302796,0.0005875683850706365
31,1.7020328839619954,0.00844494543183078,0.016854047775268555,0.0020207479537162295,0.9428083466435541,0.9430340184037542,0.43353615929005185,0.10132405525564712,5,1,135,0.7982951789667752,3.0998557231110606,0.910590063177311,"{'regressor__colsample_bylevel': 0.9428083466435541, 'regressor__colsample_bytree': 0.9430340184037542, 'regressor__gamma': 0.43353615929005185, 'regressor__learning_rate': 0.10132405525564712, 'regressor__max_depth': 5, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 135, 'regressor__reg_alpha': 0.7982951789667752, 'regressor__reg_lambda': 3.0998557231110606, 'regressor__subsample': 0.910590063177311}",-0.20283415913581848,-0.19433027505874634,-0.19371497631072998,-0.19695980350176492,0.004161385083825666,67,-0.17298579216003418,-0.17375516891479492,-0.1706949919462204,-0.1724786510070165,0.0012997602039252132
33,6.052368561426799,0.08597305939764016,0.027362823486328125,0.0011989146073907676,0.8772499781707032,0.7091500749817148,0.01867409437460721,0.09226005606596582,9,3,543,0.3266512417960409,3.8114760151503546,0.7814628747459225,"{'regressor__colsample_bylevel': 0.8772499781707032, 'regressor__colsample_bytree': 0.7091500749817148, 'regressor__gamma': 0.01867409437460721, 'regressor__learning_rate': 0.09226005606596582, 'regressor__max_depth': 9, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 543, 'regressor__reg_alpha': 0.3266512417960409, 'regressor__reg_lambda': 3.8114760151503546, 'regressor__subsample': 0.7814628747459225}",-0.19963407516479492,-0.19536139070987701,-0.19609956443309784,-0.1970316767692566,0.001864686420150187,68,-0.04731304943561554,-0.042012132704257965,-0.04228360950946808,-0.0438695972164472,0.0024374094585868995
95,3.3631602128346763,0.03939631900915124,0.020190954208374023,0.0003077729914241398,0.8761204672409701,0.7098540010730314,0.4563747314395644,0.034822644275715194,4,4,809,0.033879160246594986,1.7458926845310296,0.9341487122638262,"{'regressor__colsample_bylevel': 0.8761204672409701, 'regressor__colsample_bytree': 0.7098540010730314, 'regressor__gamma': 0.4563747314395644, 'regressor__learning_rate': 0.034822644275715194, 'regressor__max_depth': 4, 'regressor__min_child_weight': 4, 'regressor__n_estimators': 809, 'regressor__reg_alpha': 0.033879160246594986, 'regressor__reg_lambda': 1.7458926845310296, 'regressor__subsample': 0.9341487122638262}",-0.20174455642700195,-0.19435404241085052,-0.19509753584861755,-0.19706537822882333,0.003322572003808011,69,-0.1746157556772232,-0.17277272045612335,-0.1730993092060089,-0.1734959284464518,0.0008029839446177325
37,15.827757596969604,0.41643213994898015,0.048289219538370766,0.004325016392418055,0.9864595841989582,0.9213690750087304,0.27717702625570034,0.07117207462343522,10,3,1199,0.5660372104940763,1.1345857905699641,0.7360493943416926,"{'regressor__colsample_bylevel': 0.9864595841989582, 'regressor__colsample_bytree': 0.9213690750087304, 'regressor__gamma': 0.27717702625570034, 'regressor__learning_rate': 0.07117207462343522, 'regressor__max_depth': 10, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 1199, 'regressor__reg_alpha': 0.5660372104940763, 'regressor__reg_lambda': 1.1345857905699641, 'regressor__subsample': 0.7360493943416926}",-0.1992354542016983,-0.19654835760593414,-0.195481538772583,-0.19708845019340515,0.0015793976203009202,70,-0.0196785107254982,-0.02123822458088398,-0.01939089596271515,-0.020102543756365776,0.000811586415331704
41,9.157171567281088,0.0221499764892831,0.03080407778422038,0.0010645030869861488,0.9031505027148945,0.87201011250158,0.06425017661695509,0.0911204176736003,6,5,1391,0.38610263780077425,4.344762255295657,0.971605192586819,"{'regressor__colsample_bylevel': 0.9031505027148945, 'regressor__colsample_bytree': 0.87201011250158, 'regressor__gamma': 0.06425017661695509, 'regressor__learning_rate': 0.0911204176736003, 'regressor__max_depth': 6, 'regressor__min_child_weight': 5, 'regressor__n_estimators': 1391, 'regressor__reg_alpha': 0.38610263780077425, 'regressor__reg_lambda': 4.344762255295657, 'regressor__subsample': 0.971605192586819}",-0.1995926797389984,-0.19573576748371124,-0.19597335159778595,-0.19710059960683188,0.0017648340982784724,71,-0.05865985155105591,-0.05637035518884659,-0.05895605683326721,-0.05799542119105657,0.0011554404718422371
67,5.662203311920166,0.047653876888308,0.02351657549540202,0.0008417010228428573,0.7986254830862525,0.8900202562950177,0.12007280938909654,0.01758633281086639,4,3,1497,0.6976675736969318,1.2202690893971941,0.9089504398681236,"{'regressor__colsample_bylevel': 0.7986254830862525, 'regressor__colsample_bytree': 0.8900202562950177, 'regressor__gamma': 0.12007280938909654, 'regressor__learning_rate': 0.01758633281086639, 'regressor__max_depth': 4, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 1497, 'regressor__reg_alpha': 0.6976675736969318, 'regressor__reg_lambda': 1.2202690893971941, 'regressor__subsample': 0.9089504398681236}",-0.2020435780286789,-0.1941172480583191,-0.19516128301620483,-0.1971073697010676,0.0035163538633558233,72,-0.17312221229076385,-0.1724814623594284,-0.17216086387634277,-0.172588179508845,0.00039965744161901657
92,7.127190351486206,0.08244849083935464,0.025844017664591473,0.0007995719428960089,0.7206764618101655,0.7231963196466361,0.05212348302590475,0.0940439631980423,6,1,913,0.2359060345950812,1.162082041469159,0.7558962638482362,"{'regressor__colsample_bylevel': 0.7206764618101655, 'regressor__colsample_bytree': 0.7231963196466361, 'regressor__gamma': 0.05212348302590475, 'regressor__learning_rate': 0.0940439631980423, 'regressor__max_depth': 6, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 913, 'regressor__reg_alpha': 0.2359060345950812, 'regressor__reg_lambda': 1.162082041469159, 'regressor__subsample': 0.7558962638482362}",-0.2007400244474411,-0.19668088853359222,-0.19426557421684265,-0.19722882906595865,0.0026714297754051215,73,-0.0805557370185852,-0.07678720355033875,-0.07073663175106049,-0.07602652410666148,0.004044558647179178
24,4.4660139083862305,0.04565481030767515,0.021186272303263348,0.0013272745286689158,0.8646201368099757,0.9075685593078079,0.32598062975130027,0.03242693094605598,4,4,900,0.4938937151834346,1.2152908368853153,0.8099406353748579,"{'regressor__colsample_bylevel': 0.8646201368099757, 'regressor__colsample_bytree': 0.9075685593078079, 'regressor__gamma': 0.32598062975130027, 'regressor__learning_rate': 0.03242693094605598, 'regressor__max_depth': 4, 'regressor__min_child_weight': 4, 'regressor__n_estimators': 900, 'regressor__reg_alpha': 0.4938937151834346, 'regressor__reg_lambda': 1.2152908368853153, 'regressor__subsample': 0.8099406353748579}",-0.20251286029815674,-0.19425635039806366,-0.1950121521949768,-0.19726045429706573,0.003726807005939255,74,-0.1742524653673172,-0.17112214863300323,-0.17266085743904114,-0.1726784904797872,0.0012780072788984094
83,8.06513524055481,0.04081902714239107,0.029612302780151367,5.9429228467752275e-05,0.9344543445254244,0.9483822661532475,0.37525096238265676,0.08995371309195156,6,5,1288,0.8145747202313821,3.1607888827848005,0.8569196274307358,"{'regressor__colsample_bylevel': 0.9344543445254244, 'regressor__colsample_bytree': 0.9483822661532475, 'regressor__gamma': 0.37525096238265676, 'regressor__learning_rate': 0.08995371309195156, 'regressor__max_depth': 6, 'regressor__min_child_weight': 5, 'regressor__n_estimators': 1288, 'regressor__reg_alpha': 0.8145747202313821, 'regressor__reg_lambda': 3.1607888827848005, 'regressor__subsample': 0.8569196274307358}",-0.19926056265830994,-0.19629696011543274,-0.19633916020393372,-0.19729889432589212,0.0013872159641227495,75,-0.06792666018009186,-0.062056027352809906,-0.06316161155700684,-0.06438143302996953,0.002547162574004754
